Question,Platform,Device
Yes,PC,Win10/11
No,N/A,N/A
Yes,PC,Mac
No,N/A,N/A
Yes,Console,Ps4
Yes,PC,Win10/11
Yes,PC,Win10/11
Yes,Phone,Phone
No,N/A,N/A
Yes,Console,Switch
Yes,Console,Ps4
Yes,Console,Ps4
Yes,PC,Win10/11
Yes,Console,Switch
Yes,PC,Win10/11
No,N/A,N/A
Yes,Console,Switch
Yes,PC,Win10/11
Yes,Console,Ps4
Yes,Phone,Phone
Yes,Console,Ps4
No,N/A,N/A
Yes,Console,Ps4
No,N/A,N/A
Yes,PC,Win10/11
Yes,Phone,Phone
Yes,Console,Ps4
Yes,PC,Win10/11
Yes,Console,Ps4
Yes,Console,Switch
Yes,Console,Ps4
Yes,PC,Win10/11
Yes,Console,Ps4
Yes,PC,Win10/11
Yes,Console,Ps4
Yes,Console,Ps4
Yes,Console,Ps4
Yes,Phone,Phone
Yes,PC,Mac
Yes,PC,Win10/11
Yes,PC,Win10/11
Yes,PC,Win10/11
Yes,PC,Win10/11
Yes,PC,Win10/11
Yes,Console,Ps4
Yes,Phone,Phone
Yes,PC,Win10/11
Yes,Console,Switch
Yes,PC,Win10/11
Yes,Console,XboxOne
Yes,Phone,Phone
Yes,PC,Win10/11
Yes,PC,Win10/11
No,N/A,N/A
Yes,Console,Ps4
Yes,PC,Win10/11
Yes,PC,Win10/11
Yes,N/A,N/A
Yes,PC,Win10/11
Yes,PC,Win10/11
Yes,Console,XboxOne
No,N/A,N/A
Yes,PC,Win10/11
Yes,PC,Win10/11
Yes,Console,Xbox360
No,N/A,N/A
Yes,Console,Xbox360
Yes,Console,Ps4
Yes,PC,Win10/11
Yes,PC,Mac
Yes,Console,XboxOne
No,N/A,N/A
Yes,Console,XboxOne
Yes,PC,Win10/11
Yes,PC,Win10/11
Yes,PC,Win10/11
Yes,PC,Mac
Yes,Phone,Phone
No,N/A,N/A
Yes,PC,Win10/11
Yes,Console,XboxOne
Yes,Console,Ps4
Yes,Console,Ps4
Yes,Phone,Phone
Yes,Phone,Phone
